ID,key_json,value_json
79,78,"103.10.66.14 - - [04/Aug/2021:13:33:48 +0700] ""GET /a/3pl/dash/kpi/courier/WAX22234 HTTP/1.1"" 200 157 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.392 uct=""0.000"" uht=""0.391"" urt=""0.391"" gz=""1.63"""
80,79,"103.10.66.69 - - [04/Aug/2021:13:33:48 +0700] ""GET /a/3pl/dash/kpi/courier/WAX24070 HTTP/1.1"" 200 162 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.452 uct=""0.001"" uht=""0.449"" urt=""0.453"" gz=""1.60"""
81,80,"192.168.88.105 - - [04/Aug/2021:13:33:48 +0700] ""GET /nginx_status HTTP/1.1"" 200 117 ""-"" rt=0.000 uct=""-"" uht=""-"" urt=""-"" gz=""-"""
82,81,"112.215.170.158 - - [04/Aug/2021:13:33:49 +0700] ""GET /a/3pl/csn/cur/WAX22317?consignmentId=NRJR8P82&referenceType=32 HTTP/1.1"" 200 635 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.886 uct=""0.000"" uht=""0.886"" urt=""0.886"" gz=""2.20"""
83,82,"140.213.7.156 - - [04/Aug/2021:13:33:49 +0700] ""GET /a/3pl/csn/cur/WAX22317?consignmentId=Fxfr2fwk&referenceType=32 HTTP/1.1"" 200 660 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.843 uct=""0.000"" uht=""0.842"" urt=""0.842"" gz=""2.26"""
84,83,"103.105.33.114 - - [04/Aug/2021:13:33:49 +0700] ""GET /a/3pl/csn/cur/WAX22306?consignmentId=7nfwp4db&referenceType=64&detail=1 HTTP/1.1"" 200 1684 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.879 uct=""0.001"" uht=""0.879"" urt=""0.880"" gz=""4.93"""
85,84,"116.206.13.87 - - [04/Aug/2021:13:33:49 +0700] ""GET /a/query/drpGetLogisticRole?login=WAX22212 HTTP/1.1"" 200 557 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.019 uct=""0.001"" uht=""0.019"" urt=""0.019"" gz=""3.45"""
86,85,"120.188.2.98 - - [04/Aug/2021:13:33:49 +0700] ""GET /a/3pl/csn?id=R9XLADB6&register=0&location=627&latitude=-6.2620871&longitude=106.7854688&reference=TML%2FWAX24037%40627 HTTP/1.1"" 200 4138 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.713 uct=""0.001"" uht=""0.711"" urt=""0.714"" gz=""7.75"""
87,86,"114.79.6.249 - - [04/Aug/2021:13:33:49 +0700] ""GET /a/3pl/csn/cur/WAX22058?consignmentId=L3KY17L2&referenceType=32 HTTP/1.1"" 400 280 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.692 uct=""0.001"" uht=""0.692"" urt=""0.692"" gz=""-"""
88,87,"114.124.130.24 - - [04/Aug/2021:13:33:49 +0700] ""GET /a/query/drpGetLogisticRole?login=WAX23254 HTTP/1.1"" 200 539 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.022 uct=""0.000"" uht=""0.021"" urt=""0.022"" gz=""3.42"""
